"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","GA_>=37wk","GA_28-32wk","GA_<28wk","BPD_HC","BPD_No+Mild","BPD_M+S"
"N-Phenylacetylglycine",2,0.133077033868543,0.408513252673452,0.157438281403735,0.30097143205427,0.0247470160429631,0.0342289107133529,0.0703368086766995,0.0247470160429631,0.0359735723675058,0.0785587170053855
"4-Hydroxyphenylacetate",1,0.558893281900599,0.0898772488447207,0.266494232735075,0.0847352365196053,-0.690636257538694,-1.20937864308352,-1.15375267300959,-0.690636257538694,-0.998357708960563,-1.28549731193391
"Indoxyl sulfate",2,0.162865813390164,0.387246510447029,0.203604884474599,0.246282791688208,-0.247038958150239,-0.299799623250873,-0.105257842337858,-0.247038958150239,-0.107708244005089,-0.235824419440187
"3-Methyl-2-oxovalerate",3,0.386501164165661,0.10797614183018,0.408490402033849,0.09703229197031,0.139459505689852,-0.365837218086649,-0.165669502891274,0.139459505689852,-0.0869413295341512,-0.363139705183758
"Acetylsalicylate",4,0.0895379713488577,0.192678126424447,0.0917785318318376,0.626005370394857,-0.0869459026004289,0.0808309768522392,0.0864762777696106,-0.0869459026004289,0.107049730196324,0.0626004254974246
"1-Methylnicotinamide",1,0.316975945376016,0.201379523321706,0.249487275340626,0.232157255961652,-1.70647145860546,-1.62625737090431,-1.9683077890812,-1.70647145860546,-1.94624532226293,-1.72513750939335
"Creatine",1,0.383996131909794,0.123496200858759,0.379451483628174,0.113056183603273,0.89261642735565,0.487838704182229,0.563515019492348,0.89261642735565,0.509828088806406,0.550882480728713
"Hippurate",2,0.187483701249336,0.316608349295016,0.302600685045163,0.193307264410485,0.807012005486495,0.519761111369474,0.983969787677405,0.807012005486495,0.664699753357479,0.869940138998575
"2-Hydroxyisobutyrate",1,0.371687319895698,0.136788554557842,0.367745341067146,0.123778784479314,-0.2913190217608,-0.536597813384825,-0.41230063242577,-0.2913190217608,-0.330726981148105,-0.581684483129908
"N,N-Dimethylglycine",4,0.131873792960666,0.21690930150371,0.128696494834678,0.522520410700946,-1.29637488044325,-1.06375472929944,-1.16736670462619,-1.29637488044325,-1.13339426006148,-1.09463018662734
"Trigonelline",1,0.4535418001504,0.149402700647415,0.231886442284373,0.165169056917811,-0.055598617123336,-0.129518566089872,-0.392730947048691,-0.055598617123336,-0.0355967473881582,-0.4424982971661
"Tyrosine",3,0.209330979070911,0.141377726278086,0.537306350578545,0.111984944072458,-0.849791124490613,-1.18812822158465,-0.922787695262328,-0.849791124490613,-1.07731725250797,-1.0089796160681
"Valine",1,0.538892747058599,0.0958834774693752,0.274254004137246,0.0909697713347797,-0.247639433317624,-0.577255264655385,-0.575197037646623,-0.247639433317624,-0.520848469204302,-0.618231065047209
"Sucrose",1,0.620646905430288,0.093357275791897,0.190160660636564,0.0958351581412508,-2.72797765146229,-3.43709531529868,-4.04129317848406,-2.72797765146229,-3.42960238064222,-3.98239944141202
"Pantothenic acid",2,0.0780635812390535,0.666497174866731,0.100114454483363,0.155324789410853,-0.838853152416554,-0.84801573363294,-0.730545870755815,-0.838853152416554,-0.790897494406571,-0.791430814605474
"trans-Aconitate",3,0.295553222993709,0.139831001195864,0.442656863462308,0.12195891234812,-3.23802130963725,-4.40737500250296,-3.9093835505334,-3.23802130963725,-4.34155445398844,-3.97500493663174
"Glutamine",2,0.0985795934051164,0.454932736835088,0.113970984823553,0.332516684936243,-0.83180675471103,-0.80424794119093,-0.757180188773148,-0.83180675471103,-0.793354708155909,-0.776813465427756
"Succinate",2,0.140783972250833,0.437252140418837,0.181232820045217,0.240731067285114,-1.08822503152124,-1.13840165426763,-0.692594876519012,-1.08822503152124,-1.11748119519065,-0.770817663219596
"Taurine",2,0.0884357763330546,0.572151727839491,0.105793124470556,0.233619371356899,-0.880597818106438,-0.856017749948276,-0.674448846709854,-0.880597818106438,-0.736214737931117,-0.760478021950327
"Gluconate",1,0.407616073524023,0.166644449578209,0.231890331367691,0.193849145530078,-1.11031063197991,-1.09982756328878,-1.40106635603109,-1.11031063197991,-1.06075279982164,-1.37561698462747
"Glycine",3,0.199146011050309,0.135686945985148,0.558472500900002,0.106694542064542,-0.5044686694761,-1.05097821010113,-0.602663923028397,-0.5044686694761,-0.859362707016562,-0.780884391903879
"N6-Acetyllysine",4,0.090332653727095,0.184465897435147,0.0916950056548585,0.6335064431829,-0.784864077640797,-0.301807867133006,-0.344259346523625,-0.784864077640797,-0.295665322885976,-0.355156906468195
"Formate",2,0.130994122288153,0.491694190719538,0.185941774460725,0.191369912531584,-1.05766533530944,-1.18137038798505,-0.800666663145762,-1.05766533530944,-1.01384793828254,-0.963748402380514
"Alanine",2,0.177448298340254,0.350061698883378,0.267287450236849,0.205202552539519,-0.720181518047892,-1.01769620739584,-0.431791871186022,-0.720181518047892,-0.888242128767262,-0.575372084054888
"Lactate",3,0.186409706672543,0.146384431220382,0.557273920919824,0.10993194118725,-0.703326451999551,-1.0415588835423,-0.699823590229827,-0.703326451999551,-0.865898857798759,-0.896919086864585
"3-Hydroxyisobutyrate",3,0.187079633935946,0.107274701814103,0.619234188632903,0.0864114756170476,-0.190825209393424,-0.655852673265,-0.274831497862258,-0.190825209393424,-0.3775323940723,-0.541427663482229
"N-Acetylaspartate",4,0.27555280187459,0.222299699072063,0.22479859849997,0.277348900553377,-0.684695443737714,-0.647934524297184,-0.697736372752937,-0.684695443737714,-0.577659094814019,-0.740934973254588
"Acetate",1,0.446777775212939,0.151684570441003,0.229793535944778,0.171744118401279,-0.667742195312059,-0.689064559119412,-1.04431564034078,-0.667742195312059,-0.779260131180778,-0.935082016986804
"2-Methylglutarate",3,0.281693665187257,0.122310172022239,0.491339177829088,0.104656984961416,-0.147395579092538,-0.442788299989259,-0.245828161748035,-0.147395579092538,-0.244210570959924,-0.432922009055869
"3-Aminoisobutyric acid",1,0.610581154180639,0.0852952542698003,0.22153723995081,0.0825863515987506,-0.370614402813632,-0.661179920650379,-0.702377905020721,-0.370614402813632,-0.616888668627903,-0.739425144021608
"Trimethylamine",4,0.184674563424268,0.298276645604327,0.193259336716277,0.323789454255128,-0.342189511017896,-0.292294009004773,-0.175433800912922,-0.342189511017896,-0.0678847734914722,-0.347441355398812
"Citramalic acid",2,0.104617018243207,0.514936402611571,0.12685948619419,0.253587092951032,-0.837723644086414,-0.745634921917583,-0.318868307969957,-0.837723644086414,-0.684750328965668,-0.448497586997685
"Citrate",4,0.17657495056253,0.271608077937018,0.179793600820486,0.372023370679966,-1.36144087228952,-1.26329590231861,-1.302429078116,-1.36144087228952,-1.36562169805517,-1.2556713492006
"Lysine",1,0.345914934132012,0.190961707324427,0.256643815656007,0.206479542887554,-0.375682450684714,-0.392053020597604,-0.408275611194604,-0.375682450684714,-0.329072357813369,-0.453085414845368
"Methylguanidine",3,0.248662249413356,0.251252986102934,0.279079796212111,0.221004968271599,-0.326986941217438,-0.384009036142849,-0.292792358549001,-0.326986941217438,-0.243841003157461,-0.400431349366078
"2-Aminobutyrate",2,0.11246689614677,0.518719745454271,0.139084621006107,0.229728737392852,-0.895622224942814,-0.897142125542069,-0.727357000906201,-0.895622224942814,-0.788223049476458,-0.846971419132934
"Propylene glycol",2,0.0897596156114861,0.541532591919701,0.105981438257769,0.262726354211044,-1.48760461927409,-1.24418684129569,-0.166679114747258,-1.48760461927409,-0.582051624315903,-0.500284545202127
